,tconst,Title,Score,NormalisedScore,Year,wordcount,totalemotion,Emotional Expression,Pos-Neg,Agressiveness,Anger,Anticipation,Awe,Contempt,Disgust,Dissaproval,Fear,Joy,Love,Negative,Optimism,Positive,Remorse,Sadness,Submission,Surprise,Trust,AFINN(-4&-5),Ero,directors
41,tt0043014, Sunset blvd 1950 720p bluray x264 Clone eng(1)  ,8.4,76.59574468,1950,5396.0,2245.0,57.87417012,65.26127021,8.811581292,16.71455402,37.74934197,10.6390269,15.40638832,14.68208923,11.2226794,16.82463582,31.31836965,29.27145321,26.58536852,25.36451032,36.77386683,9.565884114,21.69647846,6.512971769,23.9977414,36.1510263,0.083551426,10.81354998,Billy Wilder
42,tt0051201, Witness For The Prosecution 1957 720p BluRay x264  YTS AM  RVA  ,8.3,74.46808511,1957,7569.0,3039.0,53.89544513,64.34315895,19.52813425,33.41011948,29.85730952,25.46434809,34.66080198,28.92292668,33.71481475,40.59663114,22.18807252,22.69862906,44.0367847,17.14564463,57.66315109,19.60982636,35.71718118,13.47171456,29.65122173,62.76028098,0.479041305,3.432768455,Billy Wilder
43,tt0293282, Dr  Strangelove or How I Learned to Stop Worrying and Love the Bomb (1964)  ,8.4,76.59574468,1964,4792.0,2023.0,59.54661435,60.68018609,10.32179931,26.11284634,20.95987058,24.55758774,16.70848533,16.50216064,29.89016145,33.30033629,9.48888435,8.442106441,31.21237222,9.858572361,33.50614553,10.61562523,17.8310816,6.5049231139999995,22.06175849,53.07146836,2.0345653009999998,6.827281977,David Naylor
44,tt0338013, Eternal Sunshine of the Spotless Mind 2004 720p BluRay DTS x264 CtrlHD eng  ,8.3,74.46808511,2004,4705.0,1417.0,26.44443664,55.07061409,5.429075512000001,20.39664765,48.53146853,9.439226969,29.95631705,23.26131992,7.112184968999999,32.58235638,34.14144073,35.84393168,40.65206799,28.56023055,34.42521307,11.36666011,29.92918479,33.01989357,19.25626059,33.06838384,12.85277921,18.09250591,Michel Gondry
45,tt0137523, Fight Club AMZN WEB DL  ,8.8,85.10638298,1999,7011.0,2779.0,52.49220827,50.58264725,6.722921914,28.01378884,25.98514835,15.12663659,20.08326463,18.09539287,21.75883289,44.73951168,23.76899773,25.197572,42.52177396,17.54444283,27.75156251,13.52355783,27.706601399999997,31.04266555,15.46286901,34.05906883,15.48691638,28.43931903,David Fincher
46,tt0114369, Se7en  ,8.6,80.85106383,1995,3782.0,1644.0,62.97431245,49.76210343,8.690389294,35.84862296,38.28798938,19.75856261,40.16446457,35.21505376,28.60736525,39.59147763,25.51247671,24.81473991,46.77630517,18.33726675,31.63278317,21.22721471,32.43920833,17.78786085,25.36466821,27.97644478,27.90615317,33.27377909,David Fincher
47,tt0059578, For a Few Dollars More (1965)  ,8.2,72.34042553,1965,1748.0,659.0,47.19149377,52.62964881,25.01517451,41.69737202,36.76369154,18.84673748,33.39928161,25.00856625,17.8416193,51.51115276,24.45649592,32.1536554,50.38916831,17.70669845,42.16487893,17.10863454,29.91783943,11.09379486,34.26988168,71.15061001,4.485361321,8.403103545,Sergio Leone
48,tt0064116, Once Upon a Time in the West 1968  ,8.5,78.72340426,1968,2256.0,908.0,54.16250112,56.94973677,19.36563877,24.29883188,41.70604726,12.6262284,26.83739475,25.13144806,11.09908161,35.49627061,26.50649094,34.83366792,39.06918031,21.34174278,36.17639564,20.10363256,35.50632453,11.27217526,21.31558133,50.61182839,10.59831109,12.34246152,Sergio Leone
49,tt0119217, Good Will Hunting 1997 1080p BrRip x264 YIFY  ,8.3,74.46808511,1997,6753.0,2374.0,40.22736804,59.51194943,10.18449874,20.32946455,36.23037451,12.47553626,24.17166988,20.47041878,17.688089899999998,29.07904855,32.55403734,32.26358048,37.22802722,27.71254587,38.97764634,10.17684754,29.03804095,21.55672943,27.00434412,42.20192068,20.69164298,20.55971524,Gus Van Sant
50,tt0099685, Goodfellas 1990 Remastered 1080p BluRay x265 HEVC EAC3 SARTRE eng sdh  ,8.6,80.85106383,1990,8339.0,3130.0,46.73801607,58.40189427,24.92939297,31.18820806,45.08974731,22.587367899999997,27.12338739,23.89673297,18.24551903,36.85291323,38.36792274,40.693096399999995,38.53006884,33.12414874,38.42164107,13.20772011,30.22519081,20.55435627,41.82833978,39.99081134,33.3167258,30.77748536,Martin Scorsese
51,tt0075314, Taxi Driver  ,8.2,72.34042553,1976,3928.0,1440.0,44.34522217,47.23697752,14.50069444,26.68767564,30.21212121,7.961538462,29.477848100000003,23.18324373,9.331450094,39.31943399,25.3010407,29.48960971,48.59244472,21.38120293,28.87421249,14.91347905,34.38751602,23.35397898,23.2115305,30.35209986,22.46286064,26.50470062,Martin Scorsese
52,tt0407887, The Departed 2006 720p BrRip x264 YIFY  ,8.5,78.72340426,2006,6599.0,2552.0,49.85157881,54.35832468,12.05799373,24.22691646,30.90909091,14.22594647,27.10606722,25.666144199999998,12.50531321,43.64228425,26.02483437,31.7807528,44.38686621,25.2094148,37.84858001,10.72928979,30.87360213,45.262856899999996,25.06093405,63.37765578,53.66290458,46.54785404,Martin Scorsese
53,tt0095327, Grave of the Fireflies (1988) en  ,8.4,76.59574468,1988,1931.0,537.0,20.13147965,49.86491698,14.32588454,31.14170652,30.76688674,24.90760636,26.348914500000003,24.39478585,15.63930183,41.37181114,22.94593228,22.12319477,50.17802973,21.1977169,36.2766931,18.995939800000002,38.4499895,0.0,25.02155441,32.56560798,0.466818704,1.303726068,Isao Takahata
54,tt0279853, Harakiri 1962  ,8.5,78.72340426,1962,3989.0,1633.0,56.04848117,67.10406836,16.15186773,23.68965391,30.90686411,12.87107259,25.99393831,22.77225767,23.65719742,43.04610587,24.25516662,23.37595574,40.36093712,22.59344872,58.47571108,18.41125154,37.09736968,17.9076811,22.76438043,69.2078714,0.447816231,11.48716656,Ertem Göreç
55,tt0816692, Interstellar 2014 IMAX m720p BluRay x264 BiRD  ,8.5,78.72340426,2014,6209.0,2444.0,51.73848525,54.36747035,6.295417349,16.05517612,35.58696623,11.33639683,22.51445027,16.42600707,17.18147521,26.43135839,23.25233919,22.67006969,30.46810722,14.642343499999999,19.71982254,10.32471627,27.39350777,8.973990357,14.29193323,36.07257182,2.839924505,6.8889145439999995,Christopher Nolan
56,tt0209144, Memento  ,8.4,76.59574468,2000,4333.0,1574.0,43.43142152,45.80773462,12.56797967,21.62632201,29.73085364,10.92561822,26.46888521,24.69975817,10.67128982,31.18079085,23.6904873,29.38429498,42.82705138,16.05832777,18.45565322,12.62055534,31.91318826,24.15261513,20.69842271,38.15563005,26.73487226,24.1523961,Christopher Nolan
57,tt0468569, The Dark Knight (2008) (2160p x265 10bit HDR Tigole) eng  ,9.0,89.36170213,2008,6128.0,2485.0,54.99240079,62.37017545,19.01690141,28.65656784,38.29449424,14.60950317,18.66337264,13.94431103,18.24983801,49.33594178,37.06575253,35.47802442,40.66544723,26.03715665,49.26207877,11.45067124,35.22892765,32.95013323,37.23224456,64.15419478,3.067257775,9.07272859,Christopher Nolan
58,tt1345836, the Dark Knight Rises  ,8.3,74.46808511,2012,5784.0,2450.0,59.93520711,46.57112096,12.11142857,37.07719175,28.5729128,27.2967033,41.38930509,29.83936801,45.93358699,53.640668000000005,20.85989573,22.15164674,48.49548212,14.39804476,27.39598382,18.18835731,36.65652752,11.33921677,25.83664407,45.06876666,3.4566770680000003,8.515673779,Christopher Nolan
59,tt0482571, The Prestige (2006) (2160p x265 10bit HDR Tigole) eng  ,8.5,78.72340426,2006,4905.0,1994.0,55.26825627,59.86058873,8.818455366,13.21653975,32.07987599,6.228686057999999,11.03817782,12.29171385,4.2117879060000005,25.79244481,29.04786492,21.74321062,38.58622551,23.01935988,41.4562703,5.92350823,16.238254,8.799371086,51.34804179,53.9696193,0.574873587,51.50195554,Christopher Nolan
60,tt0038650, It's a Wonderful Life  ,8.6,80.85106383,1946,8863.0,2846.0,31.90011966,67.71398098,25.87245257,17.70923949,47.51676995,11.74928375,14.08639263,15.88760683,10.62329526,15.94572047,40.07937347,43.28309414,30.10494491,38.15256188,46.34214617,7.545822149,22.63817126,13.871531400000002,37.88865047,53.93981653,0.0,6.759393478,Frank Capra
61,tt0056172, Lawrence of Arabia 1962 1080p BluRay H264 AAC RARBG  ,8.2,72.34042553,1962,4991.0,1828.0,44.25233607,68.18804453,10.22045952,36.22402235,33.47921225,8.362228581,27.95127829,27.97169478,10.10736936,50.352466299999996,32.478262699999995,37.22224993,48.2668724,27.69911555,70.98416261,19.38425943,34.08678965,34.39440535,23.96281545,91.63025925,1.48641489,5.682953839,David Lean
62,tt0110413, Leon The Professional 1994 Remastered Extended 720p BRRiP x264 AC3 5 1  ,8.5,78.72340426,1994,3257.0,1313.0,54.34018173,59.38891882,15.06626047,25.57971546,38.57231877,18.19087234,29.33565995,23.81642631,26.86434224,27.08534331,39.38762211,37.26542133,36.67881757,27.25505522,38.011810700000005,15.53818686,34.2433984,12.24964492,33.11502846,43.19868345,22.51718327,20.27121977,Luc Besson
