,tconst,Title,Score,NormalisedScore,Year,wordcount,totalemotion,Emotional Expression,Pos-Neg,Agressiveness,Anger,Anticipation,Awe,Contempt,Disgust,Dissaproval,Fear,Joy,Love,Negative,Optimism,Positive,Remorse,Sadness,Submission,Surprise,Trust,AFINN(-4&-5),Ero
94,tt0407887, The Departed 2006 720p BrRip x264 YIFY  ,8.5,78.72340426,2006,6599,2552,49.85157881,54.35832468,12.05799373,24.22691646,30.90909091,14.22594647,27.10606722,25.6661442,12.50531321,43.64228425,26.02483437,31.7807528,44.38686621,25.2094148,37.84858001,10.72928979,30.87360213,45.2628569,25.06093405,63.37765578,53.66290458,46.54785404
95,tt1645170, The Dictator 2012 720p BluRay DTS x264 LEGi0N eng  ,6.4,34.04255319,2012,4393,1518,38.58646552,60.73867235,12.30764163,27.13091797,38.37824889,16.36363636,27.44533947,21.99200986,29.87539358,28.15878332,31.02235691,33.27189568,41.02635694,23.46222764,46.42038946,19.45236398,29.33578599,19.26432361,23.00128113,60.33132381,4.854731389,21.28803597
96,tt0071562, The Godfather Part 2 1974 1080p BrRip x264 BOKUTOX YIFY  ,9,89.36170213,1974,5377,1913,41.38385986,73.85297821,20.10716153,23.71089719,51.77113529,16.48075918,22.60019719,18.99735258,22.82863902,27.69396141,44.19581483,49.95131113,34.5331888,39.2102671,64.57897343,13.751896,27.51369565,15.28658821,38.50236383,73.34401119,2.870786823,3.073480342
97,tt0120689, The Green Mile 1999 DL 1080p x264 eng sdh  ,8.6,80.85106383,1999,5786,2378,56.49067164,36.31979551,9.705214466,37.34524936,31.88470067,23.30206379,35.03955031,43.35983071,12.71400265,51.5845395,25.84292371,24.89522548,60.61915842,21.02712358,22.39084024,18.7390561,38.96170851,31.35839793,31.3334513,27.30536804,15.20783012,21.19999632
98,tt11326678, The Hunt 2012 iNTERNAL BDRip x264 MANiC  ,8.3,74.46808511,2012,4084,1377,36.29372016,54.78113475,6.384894699,32.0391651,45.51528355,10.40723982,50.80665177,38.97439501,6.09898699,26.66411268,35.97493012,33.97108621,44.52554158,28.85550567,38.88776587,20.27453361,28.14978932,24.42246168,28.97437871,29.98214846,23.57530595,25.64284652
99,tt2084970, The Imitation Game 2014 720p BluRay x264 WiKi en  ,8,68.08510638,2014,4391,1635,45.91938001,58.83325296,2.016513761,15.99086827,31.62301918,9.34932957,16.3465335,14.47371017,9.24584046,32.8228321,24.7101988,28.31445896,34.97671483,21.39033387,34.66450182,9.194365067,21.23640462,18.78006447,23.07843686,45.72307154,3.282146993,10.56728528
100,tt0405094, The Lives of Others 2006 1080p BluRay x264 FSiHD  ,8.4,76.59574468,2006,4047,1444,41.66645295,72.20253185,7.610803324,17.41534467,40.01510954,17.86383976,22.8637049,16.38816906,25.59040331,25.91286053,36.98573641,35.39638426,29.10358545,28.25437415,54.1491355,14.50036329,29.29170725,13.16350977,36.78105982,53.12640044,1.293894372,2.919994369
101,tt0133093, The Matrix 1999 REMASTERED PROPER 1080p BluRay H264 AAC RARBG  ,8.7,82.9787234,1999,3142,1203,48.79878272,54.74763061,3.654197839,22.93727887,30.27129147,7.147515826,31.36462641,20.02252433,5.584907787,30.34826098,17.19304831,18.87325951,34.97625715,13.570422,26.36935725,9.818350299,22.25570663,25.52402777,12.51502824,44.04399205,10.87439756,10.32312811
102,tt0070735, The Sting 1973 1080p BluRay H264 AAC RARBG  ,8.2,72.34042553,1973,5319,2048,49.3890843,53.78194392,26.29443359,24.86347537,38.62926136,11.19591346,23.79722112,21.04649698,20.50367452,18.43826258,23.70154265,26.25200457,32.02587531,23.20068581,20.5621219,13.63185195,25.01172159,14.27892736,29.31286868,29.96516827,7.887193497,40.57897426
103,tt0114814, The Usual Suspects 1995 1080p BluRay x264 AC3 ETRG  ,8.5,78.72340426,1995,4935,1794,43.50450325,47.68232085,26.34169454,35.10834591,34.18870984,13.84615385,40.74975657,28.03071169,21.5341156,46.72119608,21.29515313,26.5916135,48.2035532,19.80674145,29.27130144,16.16042546,37.17389064,22.00578505,28.50011082,38.77622737,32.79942637,28.34408839
